"Trends"
"Levels of activity (More detailed - 7 categories)"
"Local Authority and County Council"
"Active: 840+ mins "
"","Nov 15-16","Nov 16-17","Nov 17-18","Nov 18-19","Nov 19-20","Nov 20-21","Nov 21-22","Nov 22-23"
"Bradford LA","26.2%","26.0%","24.7%","22.1%","24.9%","25.9%","25.3%","28.5%"
"Braintree LA","20.2%","24.9%","24.7%","22.7%","22.4%","24.3%","22.0%","27.6%"
"Breckland LA","16.9%","27.3%","18.1%","20.9%","18.4%","18.2%","29.2%","24.8%"
"Brent LA","21.3%","20.6%","26.4%","21.1%","21.1%","19.7%","23.3%","26.4%"
"Brentwood LA","29.0%","27.0%","24.8%","33.1%","26.3%","23.9%","31.5%","30.1%"
"Brighton and Hove  LA","33.3%","33.4%","32.7%","31.2%","29.6%","29.4%","41.8%","40.8%"
"Bristol, City of,  LA","31.3%","30.6%","33.2%","34.3%","28.4%","31.1%","34.9%","37.3%"
"Broadland LA","22.7%","24.3%","26.0%","27.6%","29.1%","24.6%","21.1%","24.7%"
"Bromley LA","31.0%","24.5%","19.5%","22.6%","27.5%","25.1%","28.4%","30.1%"
"Bromsgrove LA","28.2%","29.6%","28.1%","26.7%","21.8%","26.5%","24.6%","27.3%"
"Broxbourne LA","29.4%","24.6%","20.3%","22.1%","20.4%","17.5%","23.3%","24.9%"
"Broxtowe LA","25.3%","24.1%","26.8%","28.7%","24.2%","26.1%","26.0%","31.2%"
"Buckinghamshire LA","27.0%","25.7%","25.8%","27.0%","28.1%","25.5%","26.2%","25.7%"
"Burnley LA","20.4%","26.4%","22.3%","23.3%","23.1%","30.0%","25.3%","24.5%"
"Bury LA","28.1%","24.4%","21.9%","26.4%","26.5%","22.5%","27.9%","27.1%"
"Calderdale LA","28.9%","27.6%","28.2%","27.8%","28.8%","30.3%","29.9%","32.3%"
"Cambridge LA","28.0%","34.7%","35.6%","37.1%","27.9%","32.3%","37.9%","32.5%"
"Camden LA","32.3%","32.2%","31.7%","27.8%","29.0%","29.5%","33.9%","35.0%"
"Cannock Chase LA","20.6%","18.3%","26.6%","19.7%","22.4%","24.6%","24.6%","21.9%"
"Canterbury LA","24.6%","30.4%","25.5%","30.5%","28.9%","29.8%","28.0%","26.5%"
"Castle Point LA","29.8%","22.5%","25.8%","18.7%","23.4%","23.2%","24.8%","22.1%"
"Central Bedfordshire LA","21.6%","26.9%","22.1%","24.1%","21.8%","27.9%","21.3%","26.6%"
"Charnwood LA","27.4%","24.2%","24.9%","29.0%","24.2%","29.3%","26.9%","36.8%"
"Chelmsford LA","24.2%","20.8%","21.4%","25.1%","26.2%","24.7%","24.0%","34.8%"
"Cheltenham LA","26.5%","26.3%","31.4%","29.6%","22.2%","26.6%","26.6%","34.9%"
"Cherwell LA","28.6%","20.0%","22.4%","30.7%","22.9%","25.8%","23.6%","31.3%"
"Cheshire East LA","21.4%","27.2%","30.5%","24.3%","22.0%","26.9%","26.1%","26.3%"
"Cheshire West and Chester LA","25.4%","26.0%","26.6%","25.3%","27.1%","29.0%","25.2%","31.8%"
"Chesterfield LA","30.3%","30.7%","25.8%","21.4%","31.3%","24.5%","24.7%","26.6%"
"Chichester LA","30.2%","25.7%","27.3%","31.0%","24.2%","26.5%","28.1%","29.3%"
"Chorley LA","27.3%","30.4%","32.2%","28.2%","32.8%","27.6%","28.4%","34.0%"
"City of London LA","29.0%","37.7%","23.5%","33.0%","26.5%","12.6%","-","20.2%"
"Colchester LA","28.6%","21.3%","23.6%","29.5%","28.6%","23.7%","28.4%","26.1%"
"Cornwall LA","31.0%","25.7%","30.0%","31.8%","25.4%","33.0%","32.7%","30.8%"
"Cotswold LA","24.1%","26.1%","28.8%","29.2%","29.7%","27.9%","29.8%","33.1%"
"County Durham LA","25.4%","30.1%","18.2%","25.4%","32.3%","24.8%","29.4%","26.1%"
"Coventry LA","21.6%","21.7%","27.8%","21.2%","23.5%","18.5%","21.0%","24.1%"
"Crawley LA","31.9%","25.0%","23.6%","23.8%","24.7%","21.8%","26.4%","20.9%"
"Croydon LA","27.8%","21.5%","19.7%","20.1%","19.2%","20.2%","23.0%","24.4%"
"Cumberland LA","29.5%","29.8%","28.3%","28.4%","29.6%","32.8%","28.9%","30.2%"
"Dacorum LA","25.0%","28.8%","21.7%","31.1%","28.3%","27.5%","28.2%","26.6%"
"Darlington LA","27.0%","22.9%","27.5%","24.6%","22.5%","21.6%","29.4%","28.2%"
"Dartford LA","22.2%","25.8%","28.3%","21.2%","27.5%","22.4%","25.5%","26.3%"
"Derby LA","25.4%","23.1%","24.5%","21.6%","31.4%","24.9%","24.6%","28.0%"
"Derbyshire Dales LA","33.5%","34.8%","28.7%","36.3%","34.2%","36.2%","32.8%","36.2%"
"Doncaster LA","23.6%","21.8%","23.7%","23.5%","23.0%","20.8%","24.3%","23.6%"
"Dorset LA","24.9%","25.9%","29.6%","28.8%","27.3%","22.2%","29.7%","27.6%"
"Dover LA","26.3%","27.7%","26.4%","25.7%","27.4%","24.2%","29.5%","26.7%"
"Dudley LA","21.6%","21.0%","23.1%","18.2%","21.4%","21.6%","21.0%","24.0%"
"Ealing LA","27.0%","22.1%","27.8%","26.2%","20.9%","20.8%","25.0%","27.0%"
"East Cambridgeshire LA","25.3%","21.0%","24.9%","24.8%","25.7%","20.9%","27.9%","20.0%"
"East Devon LA","28.0%","30.1%","32.7%","31.1%","26.5%","25.4%","32.1%","31.1%"
"East Hampshire LA","23.6%","30.0%","24.9%","26.5%","31.1%","25.7%","34.0%","28.8%"
"East Hertfordshire LA","30.6%","25.8%","23.0%","23.5%","28.3%","27.7%","30.4%","30.9%"
"East Lindsey LA","27.1%","21.1%","21.8%","22.0%","20.2%","17.4%","22.7%","28.3%"
"East Riding of Yorkshire LA","29.5%","29.9%","24.3%","31.6%","24.4%","22.9%","29.0%","26.4%"
"East Staffordshire LA","21.9%","22.9%","25.7%","24.1%","24.6%","20.8%","24.3%","33.1%"
"East Suffolk LA","21.2%","22.0%","23.5%","22.4%","27.3%","24.1%","28.3%","26.4%"
"Eastbourne LA","28.9%","24.7%","24.2%","28.9%","29.7%","20.0%","31.6%","28.8%"
"Eastleigh LA","21.0%","26.3%","23.0%","23.6%","20.4%","24.9%","23.0%","28.3%"
"Elmbridge LA","31.7%","30.0%","31.7%","27.9%","26.0%","24.9%","31.1%","34.4%"
"Enfield LA","23.6%","19.6%","26.2%","25.0%","21.8%","19.6%","23.9%","23.3%"
"Epping Forest LA","26.7%","25.6%","25.4%","20.9%","25.2%","27.8%","28.7%","27.0%"
"Epsom and Ewell LA","25.6%","27.9%","26.2%","27.9%","24.2%","28.4%","26.6%","31.8%"
"Erewash LA","26.6%","22.7%","26.3%","22.5%","23.3%","23.6%","27.6%","29.8%"
"Exeter LA","38.8%","41.1%","39.5%","34.3%","35.4%","38.6%","36.1%","38.3%"
"Fareham LA","26.1%","27.4%","28.4%","21.3%","22.6%","23.3%","23.8%","30.8%"
"Fenland LA","26.3%","22.8%","17.8%","20.2%","17.9%","17.1%","19.2%","19.8%"
"Folkestone And Hythe LA","25.0%","24.2%","30.9%","22.7%","20.9%","22.6%","26.8%","31.6%"
"Forest of Dean LA","20.9%","27.6%","31.2%","28.6%","26.2%","28.9%","26.6%","33.7%"
"Fylde LA","25.4%","22.9%","26.8%","27.0%","25.8%","17.8%","24.8%","31.4%"
"Gateshead LA","27.4%","23.6%","30.9%","20.3%","25.5%","25.7%","22.3%","20.5%"
"Gedling LA","24.5%","27.6%","29.0%","22.7%","27.6%","26.2%","26.3%","24.8%"
"Gloucester LA","23.7%","25.5%","25.3%","22.9%","28.6%","26.9%","29.7%","27.7%"
"Gosport LA","33.3%","26.8%","29.2%","20.4%","20.7%","22.3%","26.6%","24.2%"
"Gravesham LA","22.6%","22.9%","21.0%","19.6%","19.8%","27.0%","23.5%","22.7%"
"Great Yarmouth LA","23.1%","18.8%","25.0%","23.2%","20.9%","17.2%","25.8%","24.0%"
"Greenwich LA","26.6%","24.9%","27.6%","22.7%","27.5%","27.2%","25.5%","25.3%"
"Guildford LA","30.7%","28.4%","35.2%","31.1%","31.8%","32.6%","34.2%","34.3%"
"Hackney LA","34.0%","33.0%","29.1%","31.7%","31.0%","30.0%","33.5%","34.4%"
"Halton LA","24.9%","34.1%","24.9%","24.7%","19.8%","23.0%","26.0%","25.2%"
"Hammersmith and Fulham LA","32.1%","31.0%","32.4%","36.5%","36.2%","33.7%","36.0%","35.1%"
"Harborough LA","24.5%","23.2%","24.6%","25.6%","29.2%","24.6%","22.2%","31.1%"
"Haringey LA","26.4%","25.1%","29.6%","24.2%","24.9%","25.7%","25.7%","34.4%"
"Harlow LA","24.4%","25.6%","21.3%","23.7%","24.1%","23.9%","23.2%","26.3%"
"Harrow LA","23.8%","19.4%","20.2%","23.4%","16.5%","22.5%","25.7%","21.4%"
"Hart LA","22.3%","25.5%","24.3%","22.4%","28.7%","27.4%","25.9%","24.9%"
"Hartlepool LA","24.4%","23.7%","26.0%","19.6%","19.1%","20.8%","19.9%","26.8%"
"Hastings LA","31.5%","23.1%","21.7%","26.2%","22.9%","31.0%","26.0%","31.0%"
"Havant LA","29.1%","23.2%","23.4%","22.1%","24.1%","22.0%","19.4%","24.3%"
"Havering LA","19.4%","24.9%","23.7%","23.4%","18.6%","20.0%","24.5%","22.4%"
"Herefordshire (County of) LA","23.1%","24.2%","22.1%","25.0%","29.1%","23.8%","26.5%","30.6%"
"Hertsmere LA","22.8%","17.7%","23.0%","20.2%","22.4%","20.4%","21.6%","22.3%"
"High Peak LA","34.6%","35.0%","33.0%","29.6%","38.2%","34.1%","32.1%","36.0%"
"Hillingdon LA","19.8%","20.6%","20.6%","19.3%","20.1%","18.0%","23.4%","22.5%"
"Hinckley and Bosworth LA","19.9%","22.4%","24.4%","23.6%","23.4%","22.3%","24.4%","25.1%"
"Horsham LA","29.2%","19.9%","27.6%","27.7%","27.7%","33.2%","29.8%","29.6%"
"Hounslow LA","22.0%","24.2%","26.0%","26.9%","23.3%","19.5%","22.0%","23.0%"
"Huntingdonshire LA","19.4%","22.8%","23.4%","23.5%","25.9%","20.6%","24.4%","22.7%"
"Hyndburn LA","24.7%","26.6%","23.8%","26.3%","24.2%","23.0%","28.3%","24.7%"
"Ipswich LA","22.9%","20.8%","23.8%","21.6%","22.1%","20.5%","26.9%","26.5%"
"Isle of Wight  LA","23.3%","24.7%","30.5%","28.7%","27.8%","28.1%","31.9%","26.9%"
"Isles of Scilly LA","32.6%","31.9%","36.3%","33.6%","33.9%","40.4%","34.2%","35.2%"
"Islington LA","34.7%","29.3%","42.6%","31.9%","33.9%","33.4%","31.1%","33.8%"
"Kensington and Chelsea LA","28.6%","27.5%","31.4%","26.8%","28.2%","28.6%","27.8%","30.7%"
"King's Lynn and West Norfolk LA","23.2%","20.6%","22.6%","18.3%","24.2%","18.6%","22.3%","21.2%"
"Kingston upon Hull, City of LA","23.2%","23.4%","18.9%","25.9%","28.4%","18.1%","25.5%","27.7%"
"Kingston upon Thames LA","22.3%","23.9%","29.8%","25.6%","27.2%","32.8%","34.7%","29.9%"
"Kirklees LA","25.5%","22.3%","22.6%","24.4%","25.1%","18.3%","27.7%","22.0%"
"Knowsley LA","24.5%","21.1%","27.6%","17.9%","21.0%","16.1%","24.2%","27.0%"
"Lambeth LA","32.4%","31.4%","31.6%","32.5%","32.6%","33.8%","36.9%","33.3%"
"Lancaster LA","34.3%","33.1%","29.3%","25.4%","25.3%","28.1%","31.9%","33.1%"
"Leeds LA","27.2%","25.9%","32.0%","29.6%","27.5%","27.4%","28.7%","30.3%"
"Leicester LA","21.6%","24.9%","26.6%","21.1%","23.2%","18.3%","23.5%","27.3%"
"Lewes LA","23.4%","26.5%","26.3%","27.4%","30.1%","29.1%","31.5%","26.3%"
"Lewisham LA","30.6%","22.7%","32.1%","26.6%","27.2%","25.0%","33.3%","28.7%"
"Lichfield LA","23.9%","23.3%","23.0%","26.9%","24.6%","27.0%","25.6%","24.5%"
"Lincoln LA","29.4%","28.1%","29.3%","29.5%","26.7%","30.3%","28.6%","31.9%"
"Liverpool LA","25.5%","25.9%","28.7%","27.9%","26.5%","22.7%","29.4%","27.2%"
"Luton LA","24.4%","21.1%","21.4%","17.7%","22.4%","21.2%","22.9%","26.1%"
"Maidstone LA","20.3%","22.8%","24.4%","22.9%","24.2%","22.8%","28.9%","32.1%"
"Maldon LA","25.6%","19.8%","28.2%","23.9%","24.3%","23.8%","26.8%","25.3%"
"Malvern Hills LA","29.0%","29.4%","20.9%","27.3%","22.7%","24.5%","22.7%","31.3%"
"Manchester LA","26.0%","29.4%","29.4%","28.0%","25.9%","26.4%","29.6%","27.9%"
"Mansfield LA","23.7%","23.7%","30.2%","23.8%","26.2%","21.3%","24.6%","24.8%"
"Medway  LA","27.9%","22.7%","24.2%","20.1%","22.3%","19.5%","20.3%","26.0%"
"Melton LA","26.1%","23.6%","25.0%","26.3%","24.8%","25.0%","27.2%","30.5%"
"Merton LA","27.8%","28.4%","24.6%","26.7%","23.5%","29.9%","30.8%","27.7%"
"Mid Devon LA","29.4%","23.7%","30.3%","30.1%","29.2%","27.9%","31.3%","24.3%"
"Mid Suffolk LA","24.4%","23.9%","18.6%","24.3%","24.8%","22.9%","22.5%","21.6%"
"Mid Sussex LA","32.2%","25.6%","26.7%","27.7%","30.8%","32.3%","28.5%","31.1%"
"Middlesbrough LA","22.2%","25.1%","27.2%","21.4%","21.7%","21.8%","25.5%","23.0%"
"Milton Keynes  LA","27.7%","22.9%","25.7%","24.6%","28.4%","24.8%","24.3%","25.2%"
"Mole Valley LA","28.2%","21.2%","23.8%","30.8%","25.6%","26.9%","32.1%","32.3%"
"New Forest LA","20.1%","29.4%","26.0%","30.8%","27.5%","24.9%","31.3%","25.9%"
"Newark and Sherwood LA","26.4%","25.9%","25.8%","26.5%","25.7%","26.0%","23.8%","31.7%"
"Newcastle upon Tyne LA","30.5%","28.9%","28.2%","30.0%","28.7%","27.9%","30.8%","31.9%"
"Newcastle-under-Lyme LA","22.5%","24.9%","27.3%","28.4%","23.9%","20.8%","21.8%","27.6%"
"Newham LA","23.5%","24.1%","25.3%","25.2%","20.4%","20.0%","27.9%","20.6%"
"North Devon LA","32.3%","31.2%","29.8%","31.7%","31.4%","30.4%","30.4%","30.7%"
"North East Derbyshire LA","27.6%","22.2%","26.4%","26.9%","22.6%","28.8%","29.4%","25.9%"
"North East Lincolnshire LA","23.3%","23.8%","22.8%","24.2%","20.9%","24.3%","24.5%","21.7%"
"North Hertfordshire LA","25.5%","24.9%","23.8%","27.5%","26.6%","26.9%","21.9%","29.3%"
"North Kesteven LA","29.4%","22.6%","22.5%","26.0%","20.0%","22.3%","24.6%","25.6%"
"North Lincolnshire LA","24.4%","25.6%","20.8%","21.0%","22.1%","14.6%","15.8%","22.4%"
"North Norfolk LA","24.5%","28.6%","23.0%","25.7%","26.9%","23.0%","20.4%","26.3%"
"North Northamptonshire LA","23.2%","21.8%","23.8%","25.6%","20.0%","21.1%","29.3%","24.3%"
"North Somerset  LA","23.8%","25.8%","27.9%","22.8%","26.7%","27.4%","28.9%","26.7%"
"North Tyneside LA","30.2%","27.0%","21.6%","24.0%","28.4%","28.7%","29.8%","26.2%"
"North Warwickshire LA","23.8%","18.7%","21.8%","24.0%","20.6%","20.1%","23.0%","20.6%"
"North West Leicestershire LA","23.4%","24.4%","18.0%","29.1%","34.1%","21.2%","24.7%","29.3%"
"North Yorkshire LA","29.5%","26.6%","29.0%","29.9%","26.9%","30.3%","31.3%","31.6%"
"Northumberland LA","28.1%","29.6%","29.4%","29.2%","22.8%","31.0%","27.8%","28.4%"
"Norwich LA","36.1%","27.6%","26.5%","29.2%","28.3%","28.3%","29.4%","35.3%"
"Nottingham City LA","25.4%","26.3%","28.8%","26.7%","25.0%","24.6%","29.7%","29.8%"
"Nuneaton and Bedworth LA","19.6%","20.4%","20.2%","20.1%","20.3%","21.8%","19.3%","19.8%"
"Oadby and Wigston LA","25.3%","23.6%","21.1%","18.4%","14.5%","21.8%","20.0%","23.7%"
"Oldham LA","23.8%","22.5%","23.3%","18.3%","21.9%","23.9%","23.9%","22.5%"
"Oxford LA","31.3%","32.2%","33.2%","30.5%","32.2%","28.9%","33.2%","39.3%"
"Pendle LA","24.6%","28.6%","22.3%","29.9%","26.5%","21.7%","27.6%","27.0%"
"Peterborough LA","23.8%","24.5%","26.1%","26.1%","21.4%","22.8%","27.6%","20.9%"
"Plymouth LA","26.5%","31.0%","30.0%","33.9%","28.3%","27.3%","27.6%","41.2%"
"Portsmouth  LA","27.4%","31.3%","27.7%","32.8%","29.8%","29.4%","30.4%","31.5%"
"Preston LA","29.5%","23.1%","29.9%","29.3%","31.2%","25.8%","25.2%","22.0%"
"Reading  LA","31.2%","26.6%","29.5%","23.9%","27.8%","24.1%","24.5%","27.7%"
"Redbridge LA","23.8%","21.6%","16.0%","21.8%","19.0%","16.8%","23.0%","23.7%"
"Redcar & Cleveland LA","28.2%","33.2%","28.9%","30.6%","27.2%","26.9%","22.2%","28.4%"
"Redditch LA","28.3%","20.7%","21.9%","28.3%","20.5%","14.8%","17.4%","26.7%"
"Reigate and Banstead LA","30.1%","27.3%","26.2%","27.7%","24.8%","27.0%","33.8%","29.2%"
"Ribble Valley LA","30.8%","25.6%","28.7%","34.5%","33.4%","26.3%","30.1%","34.1%"
"Richmond upon Thames LA","31.0%","30.7%","34.0%","30.5%","29.2%","30.1%","35.1%","34.6%"
"Rochdale LA","22.6%","25.9%","24.6%","26.9%","20.9%","24.7%","24.9%","21.7%"
"Rochford LA","24.6%","25.0%","28.3%","23.1%","20.2%","18.4%","22.3%","26.5%"
"Rossendale LA","25.1%","23.8%","25.4%","27.5%","23.8%","30.5%","31.0%","31.4%"
"Rother LA","26.7%","24.4%","23.8%","21.7%","23.4%","21.1%","30.1%","22.5%"
"Rotherham LA","30.8%","20.5%","21.2%","22.6%","23.9%","22.4%","29.0%","24.6%"
"Rugby LA","21.8%","22.1%","21.1%","23.7%","19.3%","19.9%","19.6%","20.4%"
"Runnymede LA","23.8%","29.4%","27.0%","26.0%","25.9%","24.1%","29.5%","30.0%"
"Rushcliffe LA","25.5%","28.6%","32.6%","25.6%","28.7%","23.8%","33.4%","30.7%"
"Rushmoor LA","23.3%","24.6%","24.2%","25.3%","19.3%","25.0%","28.2%","27.4%"
"Rutland LA","26.7%","24.2%","24.4%","29.4%","23.4%","27.2%","23.8%","31.3%"
"Salford LA","25.9%","28.7%","24.0%","28.9%","26.8%","22.5%","24.3%","30.8%"
"Sandwell LA","22.2%","20.4%","23.5%","18.2%","14.5%","18.7%","24.3%","21.8%"
"Sefton LA","24.1%","24.1%","24.1%","27.5%","23.9%","23.4%","29.0%","23.9%"
"Sevenoaks LA","24.8%","24.6%","25.3%","28.3%","26.5%","29.5%","22.9%","30.0%"
"Sheffield LA","29.4%","25.7%","29.2%","28.8%","27.3%","27.7%","31.9%","33.2%"
"Shropshire LA","31.7%","22.5%","27.6%","23.9%","28.2%","29.6%","32.1%","25.4%"
"Slough  LA","23.1%","21.0%","17.0%","22.3%","23.0%","15.6%","21.3%","24.6%"
"Solihull LA","23.0%","19.8%","23.9%","25.8%","24.3%","27.7%","22.1%","27.4%"
"Somerset LA","24.0%","25.4%","23.8%","27.9%","26.3%","25.4%","26.5%","26.1%"
"South Cambridgeshire LA","26.0%","24.7%","24.5%","26.8%","28.3%","24.9%","26.4%","29.2%"
"South Derbyshire LA","29.7%","28.3%","28.8%","24.9%","21.5%","25.2%","28.0%","29.0%"
"South Gloucestershire LA","22.4%","24.5%","22.5%","27.5%","22.2%","26.2%","28.4%","31.4%"
"South Hams LA","30.4%","30.0%","29.5%","33.4%","36.3%","36.0%","36.5%","31.3%"
"South Holland LA","20.3%","21.2%","18.4%","16.2%","19.2%","14.7%","23.9%","19.7%"
"South Kesteven LA","22.3%","25.8%","24.1%","21.7%","23.7%","21.6%","27.7%","29.0%"
"South Norfolk LA","22.5%","26.2%","22.3%","25.3%","19.8%","20.8%","28.3%","26.4%"
"South Oxfordshire LA","25.5%","26.6%","27.9%","24.7%","27.5%","26.6%","26.8%","31.8%"
"South Ribble LA","28.6%","25.8%","28.0%","24.0%","17.0%","24.5%","24.1%","26.1%"
"South Staffordshire LA","20.9%","22.6%","26.8%","23.3%","16.6%","19.4%","24.0%","26.4%"
"South Tyneside LA","23.9%","23.9%","23.9%","30.8%","25.0%","26.3%","27.3%","26.5%"
"Southampton  LA","29.0%","24.4%","28.5%","26.4%","24.1%","24.3%","34.0%","26.3%"
"Southend-on-Sea LA","27.8%","22.2%","23.9%","21.9%","21.4%","20.3%","26.9%","22.7%"
"Southwark LA","31.7%","33.2%","36.1%","31.4%","32.6%","28.8%","35.5%","31.5%"
"Spelthorne LA","20.1%","25.7%","20.6%","19.1%","21.4%","22.2%","26.5%","22.2%"
"St. Albans LA","27.8%","22.8%","24.3%","28.5%","26.4%","25.4%","32.4%","31.1%"
"St. Helens LA","25.1%","21.0%","22.9%","27.8%","21.9%","22.8%","25.6%","26.7%"
"Stafford LA","25.8%","18.4%","20.1%","22.1%","27.7%","24.6%","25.0%","31.1%"
"Staffordshire Moorlands LA","22.4%","26.1%","26.8%","26.1%","31.4%","25.8%","30.4%","26.2%"
"Stevenage LA","22.9%","21.6%","25.1%","26.3%","19.7%","20.0%","25.8%","22.6%"
"Stockport LA","25.7%","27.8%","26.0%","26.7%","22.4%","24.6%","30.7%","29.4%"
"Stockton-on-Tees LA","22.3%","21.0%","25.2%","23.0%","25.9%","22.4%","23.7%","25.0%"
"Stoke-on-Trent LA","22.5%","21.7%","27.3%","23.4%","22.9%","21.6%","20.5%","20.4%"
"Stratford-on-Avon LA","22.4%","21.2%","29.9%","30.1%","25.1%","27.3%","28.5%","31.0%"
"Stroud LA","32.2%","30.8%","31.6%","30.8%","30.9%","33.1%","27.5%","33.1%"
"Sunderland LA","29.6%","24.0%","27.4%","26.6%","22.7%","24.5%","27.8%","32.6%"
"Surrey Heath LA","25.3%","29.1%","24.6%","27.3%","29.6%","31.9%","31.0%","25.9%"
"Sutton LA","27.0%","19.2%","21.9%","26.2%","24.8%","21.0%","22.3%","30.2%"
"Swale LA","25.9%","26.0%","22.9%","23.7%","29.4%","22.4%","22.2%","25.5%"
"Swindon LA","24.5%","27.6%","26.8%","25.4%","28.4%","22.7%","30.1%","21.7%"
"Tameside LA","24.9%","25.2%","26.9%","26.0%","24.8%","22.5%","25.3%","26.6%"
"Tamworth LA","15.7%","20.9%","22.8%","27.4%","25.2%","22.2%","23.7%","30.9%"
"Tandridge LA","22.0%","30.3%","24.0%","28.3%","26.4%","25.7%","35.8%","28.5%"
"Teignbridge LA","25.7%","32.2%","28.3%","25.3%","35.3%","31.4%","30.5%","30.6%"
"Telford and Wrekin LA","29.1%","21.2%","28.3%","26.2%","24.6%","21.0%","22.6%","23.1%"
"Tendring LA","22.0%","20.5%","22.0%","22.2%","19.5%","16.8%","18.2%","26.1%"
"Test Valley LA","24.3%","28.1%","26.6%","22.9%","28.9%","29.4%","33.0%","29.5%"
"Tewkesbury LA","21.0%","27.8%","23.8%","28.9%","24.1%","28.5%","29.3%","28.2%"
"Thanet LA","22.4%","25.0%","21.1%","24.1%","27.1%","21.5%","26.8%","31.9%"
"Three Rivers LA","27.7%","23.3%","22.5%","28.9%","24.7%","21.3%","29.1%","26.6%"
"Thurrock LA","19.8%","22.3%","21.4%","17.4%","17.9%","21.4%","23.5%","23.8%"
"Tonbridge and Malling LA","25.1%","27.7%","28.5%","29.8%","26.0%","24.1%","24.5%","33.5%"
"Torbay  LA","25.3%","25.7%","34.3%","28.6%","27.8%","25.7%","31.3%","29.2%"
"Torridge LA","25.5%","25.2%","31.6%","24.7%","29.7%","25.6%","24.8%","25.7%"
"Tower Hamlets LA","32.5%","30.9%","29.1%","29.4%","29.0%","29.6%","29.3%","33.1%"
"Trafford LA","25.1%","23.1%","27.3%","24.9%","24.9%","24.3%","30.3%","28.5%"
"Tunbridge Wells LA","25.8%","26.9%","25.1%","28.1%","34.3%","24.2%","32.9%","27.8%"
"Uttlesford LA","27.0%","25.1%","26.9%","31.8%","25.8%","29.7%","24.5%","28.5%"
"Vale of White Horse LA","25.5%","27.3%","29.1%","27.8%","28.6%","25.3%","29.7%","25.1%"
"Wakefield LA","22.9%","25.9%","24.1%","25.6%","22.8%","27.7%","21.8%","25.4%"
"Walsall LA","23.5%","22.5%","22.4%","22.2%","17.6%","16.6%","17.2%","22.1%"
"Waltham Forest LA","26.4%","27.7%","25.6%","23.9%","25.4%","19.1%","27.0%","28.4%"
"Wandsworth LA","37.4%","35.8%","38.4%","36.0%","32.9%","30.3%","40.3%","35.9%"
"Warrington  LA","22.3%","26.6%","23.6%","23.2%","23.5%","21.8%","28.0%","29.3%"
"Warwick LA","28.1%","26.2%","26.9%","28.0%","28.9%","23.8%","27.2%","30.7%"
"Watford LA","27.1%","22.3%","21.8%","26.2%","22.8%","20.8%","21.8%","26.9%"
"Waverley LA","25.3%","25.6%","27.5%","26.4%","33.7%","24.5%","31.9%","36.7%"
