"Trends"
"Levels of activity (More detailed - 7 categories)"
"Local Authority and County Council"
"Inactive: Light only"
"","Nov 15-16","Nov 16-17","Nov 17-18","Nov 18-19","Nov 19-20","Nov 20-21","Nov 21-22","Nov 22-23"
"Chichester LA","12.6%","11.3%","8.8%","5.6%","11.7%","9.6%","11.1%","9.9%"
"Chorley LA","10.4%","7.0%","6.1%","9.9%","7.4%","8.0%","5.7%","6.4%"
"City of London LA","-","-","-","-","10.9%","19.5%","21.7%","17.7%"
"Colchester LA","9.2%","10.5%","8.7%","8.8%","6.8%","11.8%","9.2%","7.2%"
"Cornwall LA","8.1%","10.5%","8.9%","6.3%","9.3%","8.7%","8.1%","8.6%"
"Cotswold LA","11.0%","12.3%","9.3%","8.5%","9.5%","9.1%","7.1%","5.7%"
"County Durham LA","8.5%","11.1%","8.1%","10.0%","10.6%","7.2%","8.0%","9.6%"
"Coventry LA","8.7%","9.1%","9.2%","7.8%","6.4%","8.6%","8.8%","8.6%"
"Crawley LA","10.9%","8.9%","8.5%","8.3%","7.7%","11.2%","10.0%","8.1%"
"Croydon LA","7.6%","8.9%","9.5%","6.9%","9.2%","9.0%","7.7%","7.7%"
"Cumberland LA","8.2%","9.2%","9.5%","10.5%","10.9%","8.2%","9.8%","7.4%"
"Dacorum LA","15.4%","9.2%","7.7%","8.1%","6.7%","9.1%","5.2%","9.0%"
"Darlington LA","9.8%","13.1%","11.2%","11.8%","9.4%","9.0%","10.5%","7.0%"
"Dartford LA","7.3%","11.9%","7.6%","8.8%","8.6%","11.4%","7.4%","8.8%"
"Derby LA","6.0%","9.2%","5.7%","8.5%","8.3%","8.7%","7.1%","9.8%"
"Derbyshire Dales LA","6.7%","6.7%","6.1%","7.4%","5.4%","-","4.9%","-"
"Doncaster LA","15.9%","12.4%","15.5%","10.9%","10.0%","10.8%","11.2%","9.8%"
"Dorset LA","9.3%","10.4%","8.3%","8.0%","8.2%","9.2%","6.8%","10.0%"
"Dover LA","8.3%","9.2%","11.5%","9.5%","7.4%","10.6%","7.7%","10.4%"
"Dudley LA","9.9%","11.0%","9.6%","7.7%","9.5%","9.6%","10.4%","7.8%"
"Ealing LA","9.0%","12.0%","7.5%","12.0%","7.9%","10.3%","4.9%","9.8%"
"East Cambridgeshire LA","9.5%","16.2%","9.9%","9.9%","8.6%","11.3%","11.0%","9.4%"
"East Devon LA","8.1%","7.5%","7.3%","8.0%","-","9.2%","6.8%","7.9%"
"East Hampshire LA","6.8%","7.8%","7.6%","8.1%","7.3%","6.8%","7.0%","8.1%"
"East Hertfordshire LA","8.2%","10.5%","9.3%","7.7%","9.1%","7.8%","6.4%","9.3%"
"East Lindsey LA","8.8%","14.7%","12.0%","14.6%","10.1%","9.8%","9.5%","11.2%"
"East Riding of Yorkshire LA","12.1%","12.5%","11.1%","13.4%","12.3%","10.2%","7.3%","11.3%"
"East Staffordshire LA","13.2%","10.0%","8.9%","10.4%","9.3%","10.4%","7.3%","7.0%"
"East Suffolk LA","12.6%","12.1%","10.1%","11.8%","8.8%","12.5%","13.0%","8.0%"
"Eastbourne LA","8.9%","11.6%","11.7%","9.8%","10.6%","10.5%","9.9%","7.5%"
"Eastleigh LA","12.4%","6.7%","9.1%","8.7%","8.6%","9.6%","7.8%","7.8%"
"Elmbridge LA","9.2%","6.8%","8.3%","8.6%","7.4%","8.1%","6.6%","7.9%"
"Enfield LA","10.1%","10.6%","8.1%","5.8%","7.8%","9.3%","12.5%","10.4%"
"Epping Forest LA","7.2%","11.7%","7.6%","10.4%","9.5%","9.1%","7.8%","8.4%"
"Epsom and Ewell LA","10.7%","9.6%","7.7%","10.2%","8.0%","8.5%","11.4%","6.5%"
"Erewash LA","9.7%","10.2%","9.4%","8.9%","16.3%","9.2%","12.0%","8.0%"
"Exeter LA","5.9%","9.4%","-","5.8%","8.9%","8.5%","6.3%","7.5%"
"Fareham LA","10.5%","10.0%","6.5%","10.8%","10.4%","10.2%","6.5%","7.6%"
"Fenland LA","9.5%","11.9%","12.3%","11.2%","13.5%","16.5%","12.0%","11.2%"
"Folkestone And Hythe LA","11.9%","10.0%","8.7%","11.6%","11.6%","7.5%","10.5%","7.8%"
"Forest of Dean LA","6.8%","6.3%","5.9%","8.4%","9.4%","7.6%","6.7%","8.9%"
"Fylde LA","11.0%","9.5%","13.5%","7.3%","10.9%","13.9%","9.8%","10.2%"
"Gateshead LA","8.5%","10.0%","13.0%","9.8%","10.3%","8.9%","8.2%","9.8%"
"Gedling LA","8.8%","8.4%","8.6%","11.3%","-","9.2%","8.9%","9.8%"
"Gloucester LA","11.9%","10.3%","9.9%","11.3%","7.7%","9.6%","7.4%","6.1%"
"Gosport LA","10.2%","9.3%","13.3%","14.2%","9.8%","14.1%","9.6%","10.2%"
"Gravesham LA","7.8%","11.4%","8.3%","13.4%","8.2%","7.0%","10.9%","8.2%"
"Great Yarmouth LA","10.5%","13.9%","10.0%","11.5%","13.0%","13.5%","13.2%","11.2%"
"Greenwich LA","9.7%","9.2%","6.7%","11.0%","8.5%","9.3%","7.1%","8.1%"
"Guildford LA","9.0%","7.8%","-","6.4%","6.5%","8.3%","6.1%","5.5%"
"Hackney LA","9.5%","-","9.1%","7.5%","6.5%","-","6.0%","7.5%"
"Halton LA","10.6%","7.6%","10.4%","6.5%","13.2%","9.0%","8.6%","7.8%"
"Hammersmith and Fulham LA","8.5%","10.3%","6.9%","8.3%","6.4%","8.1%","7.6%","8.4%"
"Harborough LA","12.2%","7.5%","7.9%","8.3%","6.8%","9.5%","9.4%","7.3%"
"Haringey LA","5.9%","10.1%","9.2%","7.2%","8.0%","8.8%","10.0%","8.3%"
"Harlow LA","9.5%","11.4%","9.0%","9.7%","7.5%","10.5%","8.3%","5.9%"
"Harrow LA","11.8%","12.1%","9.8%","9.4%","10.2%","11.6%","9.1%","9.4%"
"Hart LA","9.9%","9.4%","8.8%","7.5%","6.1%","7.2%","8.7%","6.9%"
"Hartlepool LA","12.2%","11.5%","11.3%","10.9%","10.1%","14.0%","9.4%","9.5%"
"Hastings LA","8.9%","8.5%","7.8%","6.7%","5.8%","9.1%","8.4%","6.5%"
"Havant LA","12.9%","11.0%","7.5%","10.5%","12.0%","7.9%","10.1%","11.5%"
"Havering LA","12.9%","12.7%","9.3%","13.7%","11.5%","13.7%","9.3%","8.2%"
"Herefordshire (County of) LA","9.8%","9.0%","7.8%","9.3%","8.1%","10.5%","7.9%","9.7%"
"Hertsmere LA","9.2%","9.8%","9.3%","9.4%","7.5%","10.4%","10.2%","10.0%"
"High Peak LA","-","5.8%","9.4%","10.4%","7.9%","-","6.5%","-"
"Hillingdon LA","8.6%","11.8%","12.8%","10.9%","9.9%","10.3%","9.3%","8.6%"
"Hinckley and Bosworth LA","10.9%","9.1%","12.7%","8.3%","9.6%","10.1%","10.2%","6.1%"
"Horsham LA","8.0%","10.4%","11.3%","8.6%","8.6%","11.3%","9.4%","6.0%"
"Hounslow LA","9.8%","10.9%","11.2%","9.8%","5.9%","6.6%","9.2%","9.3%"
"Huntingdonshire LA","12.4%","9.3%","8.7%","12.1%","10.4%","10.7%","12.7%","10.4%"
"Hyndburn LA","6.5%","9.7%","8.9%","9.0%","8.0%","9.0%","6.8%","8.8%"
"Ipswich LA","10.4%","10.3%","7.6%","11.3%","8.0%","8.9%","9.2%","9.8%"
"Isle of Wight  LA","11.1%","9.6%","9.5%","7.6%","9.2%","8.8%","7.6%","8.9%"
"Isles of Scilly LA","-","-","-","-","-","-","-","-"
"Islington LA","5.1%","7.7%","6.9%","6.1%","7.2%","7.3%","7.1%","5.2%"
"Kensington and Chelsea LA","12.5%","9.4%","8.9%","11.0%","5.4%","9.7%","9.7%","9.1%"
"King's Lynn and West Norfolk LA","9.0%","14.7%","13.3%","11.3%","10.8%","15.5%","11.2%","12.4%"
"Kingston upon Hull, City of LA","10.2%","10.0%","12.9%","10.6%","11.3%","14.3%","11.7%","9.0%"
"Kingston upon Thames LA","10.6%","8.1%","12.7%","7.4%","8.3%","9.3%","6.6%","6.5%"
"Kirklees LA","7.8%","9.0%","6.8%","6.8%","8.5%","7.7%","6.0%","8.1%"
"Knowsley LA","8.9%","10.1%","10.8%","11.9%","10.1%","9.6%","7.3%","9.6%"
"Lambeth LA","8.5%","8.2%","7.0%","7.6%","5.6%","6.0%","9.1%","7.3%"
"Lancaster LA","9.2%","7.6%","7.7%","8.3%","11.2%","7.9%","12.2%","5.6%"
"Leeds LA","8.6%","9.0%","7.3%","7.1%","7.5%","7.5%","7.3%","6.2%"
"Leicester LA","9.5%","9.3%","5.9%","10.7%","7.5%","8.6%","8.1%","7.4%"
"Lewes LA","8.6%","8.0%","8.1%","11.3%","7.9%","7.6%","10.0%","9.6%"
"Lewisham LA","6.1%","7.5%","-","8.3%","6.1%","6.8%","6.9%","5.7%"
"Lichfield LA","9.2%","12.2%","8.9%","10.3%","6.3%","7.8%","9.0%","9.3%"
"Lincoln LA","9.8%","8.9%","9.4%","10.3%","8.9%","6.8%","9.6%","8.4%"
"Liverpool LA","10.1%","9.1%","8.1%","9.6%","9.5%","9.4%","7.9%","7.6%"
"Luton LA","7.1%","10.7%","8.9%","10.1%","6.7%","7.3%","6.3%","-"
"Maidstone LA","9.5%","7.7%","7.9%","8.5%","10.6%","7.0%","9.4%","7.1%"
"Maldon LA","8.4%","10.8%","8.3%","9.5%","8.3%","12.1%","11.3%","10.8%"
"Malvern Hills LA","8.0%","8.1%","7.5%","10.1%","9.9%","10.5%","8.6%","7.0%"
"Manchester LA","8.1%","9.6%","7.4%","8.2%","7.5%","7.7%","8.3%","8.4%"
"Mansfield LA","12.7%","11.3%","7.6%","10.0%","7.3%","11.6%","6.9%","9.1%"
"Medway  LA","10.0%","7.8%","9.1%","7.5%","7.4%","10.4%","6.5%","11.1%"
"Melton LA","10.8%","12.7%","-","6.9%","7.6%","10.0%","12.0%","9.5%"
"Merton LA","8.9%","7.6%","8.2%","9.0%","8.4%","6.5%","7.9%","8.3%"
"Mid Devon LA","8.3%","8.6%","6.4%","7.9%","8.4%","8.3%","8.6%","6.0%"
"Mid Suffolk LA","13.1%","8.7%","8.7%","12.7%","8.8%","10.3%","10.8%","11.4%"
"Mid Sussex LA","7.5%","7.8%","8.0%","6.7%","9.2%","11.5%","-","-"
"Middlesbrough LA","8.2%","13.3%","9.8%","10.3%","10.6%","6.9%","9.7%","9.6%"
"Milton Keynes  LA","11.0%","7.9%","9.5%","8.2%","8.6%","11.1%","5.3%","8.3%"
"Mole Valley LA","10.3%","6.5%","12.1%","8.1%","8.7%","6.3%","6.0%","9.5%"
"New Forest LA","11.7%","8.8%","10.2%","8.3%","6.7%","12.2%","9.9%","9.4%"
"Newark and Sherwood LA","8.1%","9.5%","9.1%","7.7%","13.0%","8.7%","7.0%","11.2%"
"Newcastle upon Tyne LA","8.6%","10.0%","7.4%","9.1%","8.1%","8.8%","9.3%","9.2%"
"Newcastle-under-Lyme LA","7.3%","6.8%","9.1%","10.3%","8.9%","10.3%","9.1%","-"
"Newham LA","10.7%","10.0%","11.2%","14.0%","8.5%","8.1%","8.9%","7.6%"
"North Devon LA","10.1%","10.2%","9.4%","5.4%","8.2%","10.9%","6.2%","7.4%"
"North East Derbyshire LA","8.5%","6.0%","11.1%","6.9%","6.7%","9.8%","9.5%","7.8%"
"North East Lincolnshire LA","13.4%","9.2%","13.0%","11.8%","11.4%","11.0%","11.7%","7.8%"
"North Hertfordshire LA","8.1%","10.2%","9.6%","9.5%","8.4%","8.8%","7.5%","10.0%"
"North Kesteven LA","10.0%","10.7%","9.6%","8.3%","11.2%","12.2%","11.2%","9.4%"
"North Lincolnshire LA","12.8%","14.6%","9.5%","7.8%","12.5%","12.7%","7.4%","9.1%"
"North Norfolk LA","11.3%","11.7%","6.6%","10.8%","10.1%","8.4%","11.3%","10.5%"
"North Northamptonshire LA","10.2%","10.0%","9.9%","10.9%","9.2%","10.3%","6.1%","10.5%"
"North Somerset  LA","9.1%","6.9%","9.6%","8.9%","8.8%","11.4%","6.7%","9.1%"
"North Tyneside LA","8.5%","11.9%","13.5%","7.9%","8.6%","12.0%","9.6%","9.6%"
"North Warwickshire LA","11.3%","13.1%","12.3%","10.1%","9.7%","10.8%","9.9%","6.2%"
"North West Leicestershire LA","8.7%","9.8%","11.9%","8.7%","5.9%","8.2%","9.8%","-"
"North Yorkshire LA","10.6%","9.9%","8.5%","8.3%","9.0%","8.9%","8.8%","8.4%"
"Northumberland LA","9.2%","10.3%","12.1%","9.2%","10.9%","10.3%","8.3%","7.4%"
"Norwich LA","9.9%","11.1%","8.9%","9.8%","7.7%","5.7%","6.5%","5.6%"
"Nottingham City LA","10.1%","7.8%","8.2%","8.4%","7.6%","7.7%","7.3%","7.7%"
"Nuneaton and Bedworth LA","9.7%","11.6%","11.8%","11.8%","10.6%","11.8%","11.0%","9.0%"
"Oadby and Wigston LA","10.4%","9.1%","6.2%","13.7%","12.8%","12.6%","8.4%","7.8%"
"Oldham LA","9.0%","7.3%","9.5%","8.6%","7.7%","7.3%","6.7%","8.0%"
"Oxford LA","6.3%","6.6%","7.6%","6.0%","5.6%","7.2%","5.5%","7.3%"
"Pendle LA","12.2%","8.9%","6.5%","6.7%","6.6%","10.3%","8.1%","7.8%"
"Peterborough LA","10.0%","12.1%","6.0%","9.0%","10.2%","9.5%","9.6%","7.3%"
"Plymouth LA","7.9%","7.9%","8.6%","9.0%","6.9%","9.5%","9.5%","-"
"Portsmouth  LA","13.2%","9.7%","9.0%","11.6%","7.0%","12.2%","9.7%","5.0%"
"Preston LA","7.9%","6.8%","8.4%","10.0%","8.7%","8.9%","8.5%","7.9%"
"Reading  LA","7.4%","8.4%","8.6%","8.9%","9.0%","8.5%","8.9%","8.9%"
"Redbridge LA","8.2%","10.4%","8.2%","8.1%","9.2%","11.5%","7.3%","8.6%"
"Redcar & Cleveland LA","9.0%","11.6%","10.5%","9.0%","12.2%","10.2%","7.9%","9.3%"
"Redditch LA","8.3%","9.3%","8.9%","9.3%","7.3%","13.6%","9.7%","8.6%"
"Reigate and Banstead LA","5.5%","12.0%","7.8%","5.3%","10.1%","7.5%","8.7%","6.1%"
"Ribble Valley LA","8.4%","7.6%","7.2%","6.5%","6.4%","-","7.0%","-"
"Richmond upon Thames LA","9.1%","9.9%","8.6%","8.9%","9.3%","8.6%","7.6%","7.7%"
"Rochdale LA","9.5%","9.1%","8.2%","9.4%","11.0%","8.9%","8.5%","7.0%"
"Rochford LA","7.5%","8.4%","9.0%","11.7%","8.3%","12.3%","11.6%","9.9%"
"Rossendale LA","11.6%","8.0%","7.2%","8.5%","7.4%","5.0%","-","6.2%"
"Rother LA","13.4%","12.1%","13.1%","10.6%","6.7%","9.7%","10.2%","8.3%"
"Rotherham LA","7.3%","11.3%","9.5%","13.3%","11.2%","8.3%","9.3%","10.2%"
"Rugby LA","8.9%","9.4%","10.1%","7.0%","8.2%","9.7%","8.8%","9.0%"
"Runnymede LA","9.6%","9.9%","6.9%","8.9%","9.5%","10.9%","7.0%","6.6%"
"Rushcliffe LA","11.0%","8.7%","-","9.2%","7.2%","11.6%","5.9%","8.8%"
"Rushmoor LA","9.6%","6.7%","10.4%","7.4%","10.0%","12.4%","9.6%","6.4%"
"Rutland LA","8.8%","10.9%","9.2%","11.4%","9.4%","9.1%","8.5%","7.5%"
"Salford LA","12.5%","7.6%","8.4%","8.2%","9.2%","9.3%","8.7%","7.9%"
"Sandwell LA","10.6%","10.7%","9.2%","10.6%","7.5%","8.9%","8.8%","7.5%"
"Sefton LA","11.3%","11.1%","9.0%","11.1%","13.4%","10.8%","9.9%","12.4%"
"Sevenoaks LA","8.6%","10.4%","7.7%","7.8%","8.7%","8.2%","9.8%","5.8%"
"Sheffield LA","8.1%","8.7%","7.7%","8.0%","7.3%","7.0%","4.7%","6.9%"
"Shropshire LA","8.8%","8.4%","8.0%","8.6%","10.2%","7.6%","6.5%","9.3%"
"Slough  LA","9.3%","11.0%","10.5%","11.0%","10.8%","10.3%","8.2%","7.3%"
"Solihull LA","8.5%","11.8%","9.4%","14.6%","13.9%","9.7%","9.8%","7.5%"
"Somerset LA","8.4%","8.4%","10.2%","9.4%","9.1%","9.0%","8.8%","9.7%"
"South Cambridgeshire LA","7.0%","9.1%","10.6%","8.2%","8.0%","7.7%","9.9%","7.3%"
"South Derbyshire LA","6.2%","6.1%","8.2%","7.6%","9.6%","10.3%","7.8%","8.6%"
"South Gloucestershire LA","8.6%","6.7%","7.5%","8.1%","6.2%","8.1%","7.3%","9.5%"
"South Hams LA","6.2%","7.9%","7.7%","7.3%","5.9%","8.6%","-","-"
"South Holland LA","10.7%","14.0%","10.3%","14.7%","12.8%","13.2%","9.1%","8.3%"
"South Kesteven LA","11.8%","9.8%","8.0%","11.3%","11.0%","11.1%","6.4%","9.1%"
"South Norfolk LA","8.5%","8.5%","12.8%","7.2%","8.4%","12.4%","9.8%","10.7%"
"South Oxfordshire LA","9.3%","11.8%","7.9%","7.8%","8.2%","8.9%","5.6%","-"
"South Ribble LA","9.5%","9.8%","9.3%","11.6%","12.3%","7.7%","10.1%","10.7%"
"South Staffordshire LA","11.0%","10.5%","9.1%","10.0%","11.5%","8.2%","6.4%","6.2%"
"South Tyneside LA","11.9%","7.7%","12.6%","9.1%","13.1%","9.2%","7.1%","10.7%"
"Southampton  LA","9.1%","10.0%","11.3%","12.6%","9.6%","10.3%","9.4%","6.8%"
"Southend-on-Sea LA","10.8%","10.2%","10.4%","10.3%","8.5%","10.2%","10.3%","11.0%"
"Southwark LA","7.6%","7.7%","5.0%","9.0%","10.0%","8.4%","7.5%","7.1%"
"Spelthorne LA","10.9%","8.0%","9.3%","11.8%","9.7%","10.7%","11.0%","12.5%"
"St. Albans LA","6.9%","6.0%","6.6%","10.6%","-","7.9%","8.0%","5.4%"
"St. Helens LA","9.5%","10.3%","10.9%","7.3%","8.5%","12.5%","8.8%","7.0%"
"Stafford LA","13.5%","8.1%","8.7%","7.2%","8.6%","7.6%","6.9%","8.2%"
"Staffordshire Moorlands LA","9.6%","7.0%","13.1%","7.7%","9.5%","8.6%","9.1%","7.6%"
"Stevenage LA","6.9%","9.8%","11.3%","9.3%","6.9%","11.1%","9.8%","5.7%"
"Stockport LA","10.0%","6.6%","9.0%","8.3%","7.4%","8.6%","8.0%","7.9%"
"Stockton-on-Tees LA","14.7%","12.9%","9.7%","11.3%","8.2%","9.6%","9.9%","7.9%"
"Stoke-on-Trent LA","13.2%","9.6%","9.8%","6.6%","9.4%","8.5%","9.1%","8.2%"
"Stratford-on-Avon LA","10.9%","9.3%","8.9%","7.2%","8.8%","11.4%","10.8%","6.3%"
"Stroud LA","-","7.8%","6.1%","-","8.2%","-","10.7%","7.6%"
"Sunderland LA","10.4%","10.4%","9.7%","10.9%","10.1%","9.2%","5.9%","9.5%"
"Surrey Heath LA","10.9%","6.5%","9.7%","9.0%","8.0%","7.4%","9.5%","7.3%"
"Sutton LA","8.8%","11.0%","9.2%","7.2%","6.1%","11.8%","8.8%","-"
"Swale LA","14.3%","10.9%","8.9%","10.2%","8.1%","9.4%","9.3%","11.6%"
"Swindon LA","9.0%","8.2%","4.5%","8.9%","5.8%","9.8%","5.5%","6.7%"
"Tameside LA","10.4%","9.8%","8.1%","9.7%","8.7%","7.7%","6.0%","9.3%"
"Tamworth LA","10.6%","8.3%","13.9%","8.7%","8.2%","8.1%","11.0%","7.7%"
"Tandridge LA","10.6%","7.2%","7.1%","7.9%","10.2%","8.8%","7.0%","8.2%"
"Teignbridge LA","9.6%","7.9%","7.7%","9.3%","7.3%","6.8%","5.4%","7.4%"
"Telford and Wrekin LA","6.8%","12.4%","10.9%","9.3%","7.8%","10.6%","7.6%","8.5%"
"Tendring LA","14.0%","15.9%","10.1%","10.8%","13.1%","11.2%","14.5%","10.4%"
"Test Valley LA","14.2%","9.8%","11.9%","8.4%","5.1%","8.3%","5.7%","6.5%"
"Tewkesbury LA","7.0%","10.6%","8.7%","8.7%","8.8%","5.9%","7.9%","10.3%"
"Thanet LA","14.0%","9.9%","11.7%","12.8%","8.1%","9.4%","8.3%","9.3%"
"Three Rivers LA","5.5%","9.6%","8.7%","8.8%","7.0%","8.0%","7.8%","8.2%"
"Thurrock LA","14.7%","11.6%","11.2%","10.0%","8.8%","9.8%","10.5%","10.4%"
"Tonbridge and Malling LA","8.8%","8.4%","8.6%","8.7%","7.4%","8.2%","10.7%","-"
"Torbay  LA","14.2%","10.2%","6.9%","9.1%","9.3%","9.4%","6.8%","7.5%"
"Torridge LA","9.2%","9.8%","10.3%","6.9%","8.4%","8.9%","9.5%","11.9%"
"Tower Hamlets LA","8.4%","10.3%","9.1%","11.1%","9.0%","9.1%","8.3%","8.4%"
"Trafford LA","11.4%","11.0%","7.4%","10.9%","7.5%","8.4%","9.0%","8.4%"
"Tunbridge Wells LA","9.6%","9.1%","8.2%","6.8%","10.7%","6.6%","7.8%","8.1%"
"Uttlesford LA","9.1%","8.8%","7.8%","8.0%","8.5%","8.5%","-","7.4%"
"Vale of White Horse LA","9.7%","7.6%","6.8%","8.4%","7.8%","11.2%","7.2%","6.8%"
"Wakefield LA","11.0%","13.3%","8.7%","9.1%","8.7%","7.2%","9.5%","5.9%"
"Walsall LA","8.2%","11.5%","9.6%","9.6%","11.4%","10.2%","10.5%","6.7%"
"Waltham Forest LA","10.0%","10.3%","9.5%","8.9%","7.2%","9.5%","7.8%","8.5%"
"Wandsworth LA","7.0%","8.9%","6.6%","8.0%","7.1%","7.6%","5.1%","-"
"Warrington  LA","10.6%","8.1%","11.7%","10.9%","10.3%","9.1%","9.4%","10.2%"
"Warwick LA","8.5%","11.4%","8.9%","5.8%","5.6%","6.5%","8.8%","8.6%"
"Watford LA","8.9%","9.4%","10.2%","9.1%","7.9%","10.4%","8.3%","8.9%"
"Waverley LA","8.0%","8.9%","-","6.5%","-","5.3%","6.6%","8.6%"
"Wealden LA","8.5%","11.1%","9.6%","9.5%","9.2%","8.8%","5.3%","6.5%"
"Welwyn Hatfield LA","6.4%","9.2%","8.1%","8.0%","9.4%","9.0%","7.8%","6.3%"
"West Berkshire  LA","12.7%","7.8%","7.8%","12.4%","7.5%","8.7%","10.4%","8.7%"
