"measure","ethnicity","ethnicity_type","time","geography","geography_type","geography_code","gender","age","ns_sec","value","value_type","denominator","numerator","upper_95_c_i","lower_95_c_i","standard_error","sample_size"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 1-2","71.7","%","63688","45658","72.1","71.3","NA","87913"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 1-2","72","%","65436","47082","72.4","71.5","NA","89414"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 1-2","71","%","65178","46285","71.4","70.6","NA","85907"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 3-5","62.2","%","37643.3","23400.8","62.9","61.5","0.6","37420"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 3-5","60.7777334","%","39133.043008351","23784.176547382","61.4797985","60.0711829","NA","38522"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 3-5","61.6","%","45926","28284","62.3","60.9","NA","45047"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 3-5","61.4","%","46533","28560","62","60.8","NA","45857"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 3-5","62.8","%","42247","26540","63.5","62.2","NA","41467"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 3-5","62.6","%","42215","26417","63.2","61.9","NA","41050"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 3-5","61.4","%","41373","25417","62.1","60.7","NA","39950"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 6-7","55.2","%","22701.3","12541.1","56.3","54.2","0.6","16039"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 6-7","54.0919337","%","23322.297713927","12615.481823414","55.1698219","53.010203","NA","16560"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 6-7","55.9","%","27886","15583","56.9","54.9","NA","18761"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 6-7","55.4","%","28109","15575","56.4","54.4","NA","18995"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 6-7","55.5","%","25342","14062","56.5","54.4","NA","16679"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 6-7","55.6","%","24817","13788","56.6","54.5","NA","16627"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 6-7","54.2","%","23478","12717","55.3","53","NA","16408"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 8","44.9","%","7410.4","3324.9","46.9","42.8","0.5","4027"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 8","46.7792285","%","7627.362811684","3568.021476183","48.8183397","44.7508189","NA","4328"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 8","50.8","%","7486","3803","53","48.6","NA","4003"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 8","48.6","%","7465","3632","50.6","46.7","NA","4095"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 8","49.1","%","6923","3401","51.4","46.9","NA","3433"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 8","48","%","6681","3208","50.2","45.8","NA","3599"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 8","43.3","%","6329","2741","45.6","41.1","NA","3662"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 9","68.1","%","22950.5","15629.5","69.2","67","0.7","12740"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 9","64.2226807","%","22485.700219579","14440.919457719","65.3919718","63.0362148","NA","12763"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 9","71.7","%","27202","19512","72.7","70.7","NA","14783"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 9","69.9","%","25220","17638","71","68.9","NA","13030"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","16-74","NS SEC 9","70.9","%","23596","16722","71.9","69.8","NA","12432"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","16-74","NS SEC 9","71.3","%","23292","16608","72.4","70.2","NA","11878"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","16-74","NS SEC 9","65","%","23186","15080","66.2","63.9","NA","13516"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","25-34","All","67","%","28933.8","19379.3","67.8","66.1","0.7","23549"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","25-34","All","64.891253","%","29086.693375789","18874.719782509","65.7780871","63.9940171","NA","22800"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","25-34","All","67.1","%","32346","21695","67.9","66.2","NA","24414"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","25-34","All","68.8","%","29963","20606","69.6","67.9","NA","22519"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","25-34","All","67.1","%","30102","20185","67.9","66.2","NA","23335"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","25-34","All","65.7","%","29446","19340","66.6","64.8","NA","23606"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","25-34","All","68.6","%","32522","22324","69.5","67.8","NA","24481"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","35-44","All","65.3","%","27872.9","18191","66.1","64.5","0.7","27421"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","35-44","All","64.1230891","%","27835.462814145","17848.958625389","64.93154","63.306533","NA","26861"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","35-44","All","66.1","%","30049","19872","66.9","65.4","NA","30799"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","35-44","All","66.8","%","27547","18398","67.6","66","NA","27709"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","35-44","All","65.8","%","27997","18421","66.6","65","NA","28286"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","35-44","All","64.3","%","27716","17824","65.2","63.5","NA","26921"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","35-44","All","66.6","%","30550","20343","67.4","65.8","NA","30895"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","45-54","All","66.5","%","28229.5","18779.6","67.3","65.7","0.7","28069"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","45-54","All","65.168917","%","28476.156258952","18557.602651013","65.9549464","64.3745424","NA","29145"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","45-54","All","65.1","%","33018","21485","65.8","64.3","NA","33400"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","45-54","All","65.5","%","30153","19737","66.2","64.7","NA","30732"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","45-54","All","66.3","%","30339","20124","67.1","65.6","NA","30982"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","45-54","All","65.5","%","29239","19144","66.3","64.7","NA","29528"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","45-54","All","64.9","%","33540","21766","65.7","64.1","NA","34273"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","55-64","All","63","%","26904.3","16955.2","63.8","62.3","0.6","33487"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","55-64","All","61.5249785","%","26850.27052444","16519.623171221","62.2877858","60.7564629","NA","33895"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","55-64","All","59.8","%","27010","16157","60.5","59.1","NA","37130"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","55-64","All","60.7","%","25496","15477","61.5","60","NA","34267"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","55-64","All","62.1","%","26321","16352","62.9","61.4","NA","34745"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","55-64","All","61.8","%","26397","16314","62.6","61","NA","33984"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","55-64","All","58.6","%","26876","15748","59.4","57.8","NA","37699"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","65-74","All","60.7","%","22348.7","13558","61.4","60","0.6","32482"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","65-74","All","60.0854463","%","22282.68373702","13388.649973965","60.7953585","59.37127","NA","32985"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","65-74","All","56.6","%","24263","13726","57.2","55.9","NA","37073"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","65-74","All","57.5","%","22617","12996","58.1","56.8","NA","34373"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","65-74","All","59.8","%","22877","13687","60.5","59.1","NA","33552"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","65-74","All","57.3","%","22356","12817","58.1","56.6","NA","32426"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","65-74","All","55.1","%","24199","13344","55.8","54.5","NA","37300"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","75+","All","41.2","%","18867.2","7772.6","42.1","40.3","0.4","20333"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","75+","All","39.3248338","%","18668.069878869","7341.187445816","40.224277","38.4325716","NA","19504"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","75+","All","33.4","%","18975","6333","34.3","32.5","NA","19429"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","75+","All","33.5","%","18917","6347","34.4","32.7","NA","19306"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","75+","All","35.4","%","17953","6348","36.3","34.5","NA","17823"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","75+","All","40.5","%","18220","7375","41.4","39.5","NA","17715"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","75+","All","37.6","%","17871","6716","38.6","36.6","NA","17758"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","Female","16+","All","60.8","%","89970.5","54702.9","61.2","60.4","0.6","98341"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","Female","16+","All","59.8043908","%","90102.61998143","53885.322948011","60.2413739","59.3658444","NA","97882"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","Female","16+","All","59.9","%","100211","60038","60.3","59.5","NA","110847"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","Female","16+","All","59.7","%","99472","59340","60.1","59.3","NA","109741"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","Female","16+","All","60.8","%","91653","55735","61.2","60.4","NA","99916"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","Female","16+","All","61.5","%","92452","56835","61.9","61","NA","100647"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","Female","16+","All","60.1","%","90429","54312","60.5","59.6","NA","97869"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","Male","16+","All","65.6","%","85986.9","56442.8","66.1","65.2","0.7","78112"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","Male","16+","All","63.1443078","%","85959.054066493","54278.249690273","63.6482905","62.6374395","NA","78484"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","Male","16+","All","64.5","%","95502","61611","65","64","NA","87607"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","Male","16+","All","64.2","%","94839","60868","64.6","63.7","NA","86635"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","Male","16+","All","64.8","%","87649","56832","65.3","64.3","NA","79451"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","Male","16+","All","65.3","%","88277","57681","65.8","64.8","NA","80135"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","Male","16+","All","63","%","86227","54315","63.5","62.5","NA","78967"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","Other Gender","16+","All","58.7147483","%","873.485874648","512.865032686","64.4542116","52.7282331","NA","594"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","Other Gender","16+","All","?","%","?","?","?","?","NA","?"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","Other Gender","16+","All","?","%","?","?","?","?","NA","?"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","Other Gender","16+","All","53.4","%","148","79","66.3","40.2","NA","107"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","Other Gender","16+","All","46.7","%","568","265","53.6","39.9","NA","442"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","Other Gender","16+","All","48.5","%","619","300","56.1","41.1","NA","449"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","Other gender","16+","All","59.5","%","1348","802","64.1","54.7","0.6","841"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","London","Region","NA","All","16+","All","64.2","%","27777.3","17843.2","65.2","63.3","0.7","16382"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","London","Region","NA","All","16+","All","62.3823049","%","27752.225978805","17312.478215112","63.3507404","61.4038697","NA","16340"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","London","Region","NA","All","16+","All","63.5","%","30542","19387","64.5","62.5","NA","19887"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","London","Region","NA","All","16+","All","62.3","%","30407","18940","63.2","61.3","NA","19497"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","London","Region","NA","All","16+","All","64.6","%","28021","18107","65.6","63.6","NA","16200"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","London","Region","NA","All","16+","All","64.5","%","28390","18306","65.5","63.5","NA","16148"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","London","Region","NA","All","16+","All","62.3","%","27796","17308","63.3","61.3","NA","16364"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","North East","Region","NA","All","16+","All","60.9","%","8560.7","5215.6","62.6","59.2","0.6","7560"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","North East","Region","NA","All","16+","All","58.7391734","%","8548.404264174","5021.261999771","60.4957099","56.9601003","NA","7595"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","North East","Region","NA","All","16+","All","60.2","%","9560","5758","61.7","58.7","NA","9046"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","North East","Region","NA","All","16+","All","60.1","%","9440","5677","61.5","58.7","NA","8958"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","North East","Region","NA","All","16+","All","59.7","%","8686","5184","61.4","57.9","NA","7241"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","North East","Region","NA","All","16+","All","60.7","%","8762","5321","62.5","59","NA","7535"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","North East","Region","NA","All","16+","All","60","%","8578","5146","61.8","58.1","NA","7500"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","North West","Region","NA","All","16+","All","61.3","%","23145.9","14188.3","62.1","60.5","0.6","27111"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","North West","Region","NA","All","16+","All","60.1147875","%","23140.43140302","13910.821169437","60.9302815","59.2936437","NA","26991"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","North West","Region","NA","All","16+","All","60.7","%","25691","15600","61.6","59.9","NA","28223"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","North West","Region","NA","All","16+","All","61.4","%","25463","15641","62.2","60.6","NA","27560"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","North West","Region","NA","All","16+","All","61.2","%","23484","14370","62","60.4","NA","27031"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","North West","Region","NA","All","16+","All","62.3","%","23669","14746","63.1","61.5","NA","26908"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","North West","Region","NA","All","16+","All","59","%","23174","13684","59.9","58.2","NA","26961"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","South East","Region","NA","All","16+","All","66.5","%","28917.9","19225.5","67.2","65.8","0.7","32283"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","South East","Region","NA","All","16+","All","64.4478788","%","28899.612214918","18625.187050145","65.1648538","63.7243618","NA","32024"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","South East","Region","NA","All","16+","All","64.4","%","32052","20631","65.1","63.7","NA","36302"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","South East","Region","NA","All","16+","All","64.5","%","31725","20466","65.2","63.9","NA","36345"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","South East","Region","NA","All","16+","All","66","%","29342","19360","66.6","65.3","NA","33665"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","South East","Region","NA","All","16+","All","65.9","%","29615","19527","66.6","65.3","NA","33262"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","South East","Region","NA","All","16+","All","64.4","%","28995","18664","65.1","63.6","NA","33679"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","South West","Region","NA","All","16+","All","67.1","%","18124.7","12169.2","68.2","66","0.7","16366"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","South West","Region","NA","All","16+","All","65.3452424","%","18062.088530108","11802.715533238","66.4767868","64.1960749","NA","16204"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","South West","Region","NA","All","16+","All","65.3","%","19953","13024","66.3","64.3","NA","22405"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","South West","Region","NA","All","16+","All","65.2","%","19788","12905","66.1","64.3","NA","22349"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","South West","Region","NA","All","16+","All","66.7","%","18310","12219","67.8","65.7","NA","19846"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","South West","Region","NA","All","16+","All","67.4","%","18515","12470","68.4","66.3","NA","19541"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","South West","Region","NA","All","16+","All","65.7","%","18127","11905","66.9","64.5","NA","15906"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","West Midlands","Region","NA","All","16+","All","58","%","18615.9","10801.4","59","57.1","0.6","19066"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","West Midlands","Region","NA","All","16+","All","57.8288961","%","18581.748221597","10745.619877611","58.8597534","56.7911706","NA","17022"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","West Midlands","Region","NA","All","16+","All","58.7","%","20447","11997","59.7","57.6","NA","19341"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","West Midlands","Region","NA","All","16+","All","57.6","%","20339","11705","58.5","56.6","NA","19092"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","West Midlands","Region","NA","All","16+","All","58.8","%","18831","11075","59.9","57.7","NA","16561"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","West Midlands","Region","NA","All","16+","All","58.7","%","19027","11160","59.7","57.6","NA","16268"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","West Midlands","Region","NA","All","16+","All","57","%","18628","10615","58.1","55.8","NA","16328"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","Yorkshire And The Humber","Region","NA","All","16+","All","60.2649007","%","17358.318694945","10460.973532015","61.4432073","59.0745696","NA","17045"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","Yorkshire And The Humber","Region","NA","All","16+","All","60.8","%","19322","11739","61.9","59.6","NA","15158"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","Yorkshire And The Humber","Region","NA","All","16+","All","60.2","%","19135","11517","61.3","59.1","NA","14852"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","Yorkshire And The Humber","Region","NA","All","16+","All","60.7","%","17633","10710","61.9","59.5","NA","13911"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","Yorkshire And The Humber","Region","NA","All","16+","All","62.5","%","17794","11127","63.6","61.4","NA","16816"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","Yorkshire And The Humber","Region","NA","All","16+","All","59.8","%","17421","10412","60.9","58.6","NA","16958"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","Yorkshire and the Humber","Region","NA","All","16+","All","62","%","17384.6","10775.3","63.1","60.8","0.6","16982"
"Percentage of people who are active","Asian","ONS 2001 5+1","Nov 2021 to Nov 2022","East","Region","NA","All","16+","All","55.9","%","998.9","558.1","60.4","51.3","2.3","850"
"Percentage of people who are active","Asian","ONS 2001 5+1","Nov 2020 to Nov 2021","East","Region","NA","All","16+","All","50.8908851","%","881.741005614","448.725801732","55.6674381","46.0980105","NA","829"
"Percentage of people who are active","Asian","ONS 2001 5+1","Nov 2015 to Nov 2016","East","Region","NA","All","16+","All","56.5","%","859","486","61.5","51.4","NA","749"
"Percentage of people who are active","Asian","ONS 2001 5+1","Nov 2016 to Nov 2017","East","Region","NA","All","16+","All","61.2","%","855","523","65.7","56.6","NA","761"
